timestamp,spot_price,previous_hedge_position,target_hedge_position,hedge_trade_size,hedge_trade_notional,hedge_fee,side,reason_for_rebalance
28946580,92078.5078,1.5490000000000024,1.57844,0.029,2670.2767262,1.0681106904800002,buy,threshold
28946581,92229.5704,1.5780000000000023,1.69878,0.121,11159.778018399998,4.46391120736,buy,threshold
28946582,92065.1523,1.6990000000000023,1.5617500000000002,-0.137,12612.925865100002,5.045170346040001,sell,threshold
28946583,92105.2076,1.5620000000000023,1.59856,0.037,3407.8926811999995,1.36315707248,buy,threshold
28946584,92153.3451,1.5990000000000022,1.64967,0.051000000000000004,4699.820600100001,1.8799282400400004,buy,threshold
28946585,92228.0662,1.6500000000000021,1.70436,0.054,4980.3155748,1.99212622992,buy,threshold
28946587,92267.0713,1.7040000000000022,1.7262400000000002,0.022,2029.8755685999997,0.8119502274399999,buy,threshold
28946588,92183.0598,1.7260000000000022,1.65834,-0.068,6268.4480664,2.5073792265600003,sell,threshold
28946589,92185.6088,1.6580000000000021,1.68545,0.027,2489.0114376,0.9956045750400001,buy,threshold
28946590,92262.9439,1.685000000000002,1.74169,0.057,5258.9878023,2.10359512092,buy,threshold
28946591,92149.5629,1.742000000000002,1.62492,-0.117,10781.498859300002,4.312599543720001,sell,threshold
28946592,92098.8389,1.625000000000002,1.57713,-0.048,4420.744267200001,1.7682977068800003,sell,threshold
28946593,92000.8619,1.577000000000002,1.4714999999999998,-0.106,9752.0913614,3.90083654456,sell,threshold
28946595,91907.6973,1.4710000000000019,1.3595700000000002,-0.111,10201.7544003,4.08070176012,sell,threshold
28946597,91676.0325,1.3600000000000019,1.18755,-0.17200000000000001,15768.277590000002,6.307311036000001,sell,threshold
28946598,91781.0869,1.188000000000002,1.2796,0.092,8443.8599948,3.3775439979199997,buy,threshold
28946599,91730.0201,1.280000000000002,1.2140900000000001,-0.066,6054.1813266,2.42167253064,sell,threshold
28946600,91598.9072,1.214000000000002,1.11643,-0.098,8976.6929056,3.5906771622400004,sell,threshold
28946601,91703.3738,1.1160000000000019,1.18425,0.068,6235.829418400001,2.4943317673600003,buy,threshold
28946602,91815.4177,1.184000000000002,1.29848,0.114,10466.9576178,4.1867830471200005,buy,threshold
28946603,91722.1097,1.298000000000002,1.22719,-0.07100000000000001,6512.2697887,2.60490791548,sell,threshold
28946604,91825.2563,1.227000000000002,1.2961900000000002,0.069,6335.9426847,2.5343770738800004,buy,threshold
28946605,91970.1992,1.296000000000002,1.44048,0.14400000000000002,13243.708684800002,5.297483473920001,buy,threshold
28946607,92089.5522,1.4400000000000022,1.5670099999999998,0.127,11695.3731294,4.678149251760001,buy,threshold
28946609,92143.1765,1.5670000000000022,1.60284,0.036000000000000004,3317.1543540000002,1.3268617416000001,buy,threshold
28946610,92179.9139,1.6030000000000022,1.6408900000000002,0.038,3502.8367282,1.40113469128,buy,threshold
28946611,92106.5275,1.6410000000000022,1.57369,-0.067,6171.1373425,2.468454937,sell,threshold
28946612,92241.961,1.5740000000000023,1.69119,0.117,10792.309437,4.3169237748,buy,threshold
28946613,92105.5911,1.6910000000000023,1.5309899999999999,-0.16,14736.894576,5.894757830400001,sell,threshold
28946615,92044.7035,1.5310000000000024,1.49532,-0.036000000000000004,3313.6093260000007,1.3254437304000004,sell,threshold
28946616,92142.9214,1.4950000000000023,1.5778600000000003,0.083,7647.862476200001,3.0591449904800005,buy,threshold
28946617,92090.5755,1.5780000000000023,1.51349,-0.065,5985.8874075,2.394354963,sell,threshold
28946618,92147.5355,1.5130000000000023,1.59279,0.08,7371.80284,2.948721136,buy,threshold
28946619,92217.5006,1.5930000000000024,1.6627200000000002,0.07,6455.225042000001,2.5820900168000005,buy,threshold
28946620,92285.7195,1.6630000000000025,1.7278699999999998,0.065,5998.5717675000005,2.399428707,buy,threshold
28946621,92321.2323,1.7280000000000024,1.7713999999999999,0.043000000000000003,3969.8129889000006,1.5879251955600002,buy,threshold
28946622,92372.062,1.7710000000000024,1.82558,0.055,5080.46341,2.032185364,buy,threshold
28946623,92335.1893,1.8260000000000023,1.70828,-0.11800000000000001,10895.5523374,4.35822093496,sell,threshold
28946624,92359.4022,1.7080000000000022,1.8133400000000002,0.105,9697.737231,3.8790948924,buy,threshold
28946625,92428.1892,1.8130000000000022,1.87727,0.064,5915.404108799999,2.36616164352,buy,threshold
28946626,92346.177,1.8770000000000022,1.79484,-0.082,7572.386514,3.0289546056,sell,threshold
28946629,92215.5946,1.7950000000000021,1.63693,-0.158,14570.063946799999,5.82802557872,sell,threshold
28946630,92220.2777,1.6370000000000022,1.6620300000000001,0.025,2305.5069425,0.9222027770000001,buy,threshold
28946631,92096.6134,1.6620000000000021,1.54338,-0.11900000000000001,10959.496994600002,4.383798797840001,sell,threshold
28946632,92041.8028,1.5430000000000021,1.4724599999999999,-0.07100000000000001,6534.967998800001,2.6139871995200004,sell,threshold
28946634,92040.819,1.4720000000000022,1.49209,0.02,1840.8163800000002,0.7363265520000001,buy,threshold
28946635,92210.8071,1.4920000000000022,1.6554799999999998,0.163,15030.3615573,6.01214462292,buy,threshold
28946636,92103.3299,1.6550000000000022,1.5797400000000001,-0.075,6907.749742499999,2.763099897,sell,threshold
28946637,92272.6617,1.5800000000000023,1.7206100000000002,0.14100000000000001,13010.4452997,5.204178119880001,buy,threshold
28946638,92334.8696,1.7210000000000023,1.78358,0.063,5817.0967848,2.32683871392,buy,threshold
28946639,92273.6487,1.7840000000000023,1.71842,-0.066,6090.060814200001,2.4360243256800005,sell,threshold
28946640,92179.9692,1.7180000000000022,1.61795,-0.1,9217.996920000001,3.687198768000001,sell,threshold
28946641,92223.7016,1.618000000000002,1.6650399999999999,0.047,4334.5139752000005,1.7338055900800002,buy,threshold
28946642,92323.0177,1.665000000000002,1.76802,0.10300000000000001,9509.2708231,3.80370832924,buy,threshold
28946643,92177.9558,1.768000000000002,1.61507,-0.153,14103.227237399999,5.64129089496,sell,threshold
28946644,92115.8389,1.615000000000002,1.5546099999999998,-0.06,5526.950334,2.2107801336,sell,threshold
28946645,92193.2336,1.555000000000002,1.6365999999999998,0.082,7559.845155200001,3.0239380620800005,buy,threshold
28946646,92069.9146,1.637000000000002,1.4956399999999999,-0.14100000000000001,12981.857958600001,5.192743183440001,sell,threshold
28946648,92228.52,1.496000000000002,1.66444,0.168,15494.391360000001,6.197756544000001,buy,threshold
28946649,92073.6235,1.664000000000002,1.5039500000000001,-0.16,14731.779760000001,5.8927119040000004,sell,threshold
28946650,92025.6666,1.504000000000002,1.45356,-0.05,4601.28333,1.8405133320000002,sell,threshold
28946652,91943.4449,1.454000000000002,1.37394,-0.08,7355.475592000001,2.9421902368000006,sell,threshold
28946653,92025.5766,1.3740000000000019,1.45491,0.081,7454.0717046,2.98162868184,buy,threshold
28946654,91935.141,1.4550000000000018,1.36657,-0.088,8090.292408,3.2361169632,sell,threshold
28946657,92100.8457,1.3670000000000018,1.5322200000000001,0.165,15196.639540500002,6.078655816200001,buy,threshold
28946658,92027.6441,1.5320000000000018,1.45736,-0.075,6902.0733075,2.7608293230000003,sell,threshold
28946659,92168.3414,1.4570000000000018,1.60425,0.147,13548.7461858,5.41949847432,buy,threshold
28946660,92228.7036,1.6040000000000019,1.6663899999999998,0.062,5718.1796232,2.28727184928,buy,threshold
28946661,92317.0578,1.666000000000002,1.7481300000000002,0.082,7569.9987396,3.02799949584,buy,threshold
28946663,92075.0608,1.748000000000002,1.50006,-0.248,22834.615078400002,9.133846031360001,sell,threshold
28946666,92119.6576,1.500000000000002,1.54773,0.048,4421.7435648,1.7686974259200001,buy,threshold
28946667,92169.1868,1.548000000000002,1.5940100000000001,0.046,4239.782592799999,1.6959130371199997,buy,threshold
28946668,92082.3558,1.594000000000002,1.5038,-0.09,8287.412022,3.3149648088000006,sell,threshold
28946670,92196.3513,1.504000000000002,1.6230600000000002,0.11900000000000001,10971.3658047,4.388546321880001,buy,threshold
28946672,92264.4317,1.623000000000002,1.69352,0.07100000000000001,6550.774650700001,2.6203098602800003,buy,threshold
28946673,92343.8918,1.694000000000002,1.7772700000000001,0.083,7664.5430194,3.0658172077600003,buy,threshold
28946674,92443.2109,1.777000000000002,1.8851999999999998,0.108,9983.8667772,3.9935467108800005,buy,threshold
28946675,92480.4528,1.885000000000002,1.9262799999999998,0.041,3791.6985648,1.51667942592,buy,threshold
28946676,92458.0702,1.926000000000002,1.9581700000000002,0.032,2958.6582464000003,1.1834632985600002,buy,threshold
28946677,92601.9853,1.958000000000002,2.04753,0.09,8334.178677,3.3336714708,buy,threshold
28946678,92664.7587,2.048000000000002,2.1376,0.09,8339.828283,3.3359313132000006,buy,threshold
28946679,92618.4173,2.1380000000000017,2.08522,-0.053,4908.7761169,1.96351044676,sell,threshold
28946680,92791.095,2.0850000000000017,2.27703,0.192,17815.89024,7.126356096,buy,threshold
28946681,92849.0524,2.277000000000002,2.35081,0.074,6870.8298776,2.7483319510400004,buy,threshold
28946682,92911.7019,2.3510000000000018,2.40836,0.057,5295.9670083,2.11838680332,buy,threshold
