entry_time,exit_time,symbol,symbol_id,expiry,dte_entry,strike,spot_entry,spot_exit,delta_entry,gamma_entry,vega_entry,theta_entry,bid_entry,ask_entry,mark_entry,entry_execution_price,exit_execution_price,quantity,side,option_entry_fee,option_exit_fee,option_gross_pnl,option_net_pnl,exit_reason
28948800,28950240,BTC-16JAN25-97000-C,322,1737014400000000.0,1.0,97000.0,97242.3092,99842.42,0.53761,0.00013,20.20804,-607.61295,0.013,0.014,0.0138,0.013,0.02846906154718604,-1.0,sell,0.6320750098,0.0,-1578.2699803999983,-1578.9020554097983,expiry_settlement
28948803,28950240,BTC-16JAN25-98000-C,323,1737014400000000.0,0.9979166666666667,98000.0,97418.5598,99842.42,0.42881,0.00013,19.98993,-584.44202,0.009,0.0095,0.0095,0.009,0.01845327867653847,-1.0,sell,0.4383835191,0.0,-965.6529617999983,-966.0913453190982,expiry_settlement
28948804,28950240,BTC-16JAN25-97500-C,370,1737014400000000.0,0.9972222222222222,97500.0,97384.8046,99842.42,0.4911,0.00013,20.29582,-593.07291,0.011,0.012,0.0116,0.011,0.023461170111862256,-1.0,sell,0.5356164253,0.0,-1271.1871493999984,-1271.7227658252984,expiry_settlement
28948829,28950240,BTC-16JAN25-98500-C,371,1737014400000000.0,0.9798611111111111,98500.0,97508.2273,99842.42,0.38253,0.00012,19.26813,-597.82316,0.008,0.0085,0.0084,0.008,0.013445387241214688,-1.0,sell,0.3900329092,0.0,-562.3541815999982,-562.7442145091983,expiry_settlement
28948885,28950240,BTC-16JAN25-96000-C,321,1737014400000000.0,0.9409722222222222,96000.0,97084.1369,99842.42,0.64473,0.00012,18.34991,-571.8533,0.018,0.0195,0.0189,0.018,0.038484844417833605,-1.0,sell,0.8737572320999999,0.0,-2094.9055357999987,-2095.779293032099,expiry_settlement
28950240,28951680,BTC-17JAN25-99000-C,358,1737100800000000.0,1.0,99000.0,99842.42,101596.9582,0.62981,0.00014,19.72818,-502.27717,0.0145,0.016,0.0153,0.0145,0.025561377486201096,-1.0,sell,0.7238575450000001,0.0,-1149.2431099999935,-1149.9669675449936,expiry_settlement
28950241,28951680,BTC-17JAN25-99500-C,398,1737100800000000.0,0.9993055555555556,99500.0,99863.17,101596.9582,0.55997,0.00015,20.60293,-523.20921,0.012,0.013,0.0125,0.012,0.02063997030178797,-1.0,sell,0.59917902,0.0,-898.6001599999936,-899.1993390199935,expiry_settlement
28950243,28951680,BTC-17JAN25-100000-C,337,1737100800000000.0,0.9979166666666667,100000.0,99808.95,101596.9582,0.47701,0.00015,20.77816,-534.49968,0.009,0.01,0.0098,0.009,0.015718563117374844,-1.0,sell,0.449140275,0.0,-698.6776499999937,-699.1267902749937,expiry_settlement
28950287,28951680,BTC-17JAN25-98000-C,357,1737100800000000.0,0.9673611111111111,98000.0,99043.28,101596.9582,0.66516,0.00014,18.56474,-459.16959,0.0155,0.0165,0.0162,0.0155,0.03540419185502735,-1.0,sell,0.76758542,0.0,-2061.787359999994,-2062.554945419994,expiry_settlement
28950535,28953120,BTC-18JAN25-99000-C,382,1737187200000000.0,1.7951388888888888,99000.0,99376.92,102770.0012,0.55368,0.00011,27.55733,-394.15617,0.016,0.017,0.0165,0.016,0.03668386840497574,-1.0,sell,0.79501536,0.0,-2179.970479999999,-2180.765495359999,expiry_settlement
28951680,28953120,BTC-18JAN25-102000-C,374,1737187200000000.0,1.0,102000.0,101596.9582,102770.0012,0.45124,0.00013,21.0487,-584.03598,0.0095,0.0105,0.0097,0.0095,0.007492470477853792,-1.0,sell,0.48258555145,0.0,195.16990290000115,194.68731734855115,expiry_settlement
28951682,28953120,BTC-18JAN25-101500-C,420,1737187200000000.0,0.9986111111111111,101500.0,101578.9638,102770.0012,0.51656,0.00014,21.17094,-577.4931,0.0115,0.0125,0.0118,0.0115,0.01235770346570745,-1.0,sell,0.5840790418499999,0.0,-101.84311629999888,-102.42719534184889,expiry_settlement
28951689,28953120,BTC-18JAN25-101000-C,373,1737187200000000.0,0.99375,101000.0,101743.4838,102770.0012,0.61164,0.00014,20.33739,-530.10765,0.015,0.016,0.0149,0.015,0.017222936453561107,-1.0,sell,0.7630761285,0.0,-243.84894299999883,-244.61201912849882,expiry_settlement
28951693,28953120,BTC-18JAN25-102500-C,421,1737187200000000.0,0.9909722222222223,102500.0,101793.5839,102770.0012,0.40965,0.00013,20.6077,-563.98399,0.008,0.0085,0.0083,0.008,0.0026272374900001344,-1.0,sell,0.4071743356,0.0,544.3474712000012,543.9402968644013,expiry_settlement
28953121,28954560,BTC-19JAN25-103000-C,404,1737273600000000.0,0.9993055555555556,103000.0,102755.0723,105048.1387,0.45784,0.00019,21.32297,-411.80695,0.006,0.007,0.007,0.006,0.01949714412217373,-1.0,sell,0.30826521689999997,0.0,-1431.6082661999958,-1431.9165314168959,expiry_settlement
28953125,28954560,BTC-19JAN25-102000-C,403,1737273600000000.0,0.9965277777777778,102000.0,102402.083,105048.1387,0.58243,0.00019,20.88149,-396.81121,0.0095,0.0105,0.01,0.0095,0.029016589324871073,-1.0,sell,0.48640989425,0.0,-2075.318911499996,-2075.8053213942458,expiry_settlement
28953126,28954560,BTC-19JAN25-102500-C,452,1737273600000000.0,0.9958333333333333,102500.0,102537.9519,105048.1387,0.51114,0.00019,21.35089,-410.91968,0.0075,0.0085,0.0082,0.0075,0.024256866723522404,-1.0,sell,0.38451731962499996,0.0,-1779.1040607499958,-1779.4885780696209,expiry_settlement
28953136,28954560,BTC-19JAN25-103500-C,453,1737273600000000.0,0.9888888888888889,103500.0,102698.7155,105048.1387,0.35927,0.00017,19.97754,-402.27067,0.0049,0.0055,0.0051,0.0049,0.01473742152082506,-1.0,sell,0.251611852975,0.0,-1044.9149940499958,-1045.1666059029708,expiry_settlement
28953120,28956000,BTC-20JAN25-103000-C,424,1737360000000000.0,2.0,103000.0,102770.0012,107263.753,0.49076,0.0001,30.35477,-390.12976,0.0145,0.015,0.0144,0.0145,0.039750175439041344,-1.0,sell,0.7450825087,0.0,-2773.587982599997,-2774.3330651086967,expiry_settlement
28954560,28956000,BTC-20JAN25-105000-C,426,1737360000000000.0,1.0,105000.0,105048.1387,107263.753,0.51252,0.00013,21.91798,-600.28996,0.0115,0.0125,0.0117,0.0115,0.021104547777663504,-1.0,sell,0.604026797525,0.0,-1055.699404949997,-1056.303431747522,expiry_settlement
28954562,28956000,BTC-20JAN25-104500-C,474,1737360000000000.0,0.9986111111111111,104500.0,104806.5981,107263.753,0.54624,0.00013,21.71497,-592.38732,0.0125,0.014,0.0129,0.0125,0.025765954693007964,-1.0,sell,0.655041238125,0.0,-1453.6705237499968,-1454.3255649881219,expiry_settlement
28954563,28956000,BTC-20JAN25-105500-C,475,1737360000000000.0,0.9979166666666667,105500.0,104872.3746,107263.753,0.42649,0.00013,21.49611,-613.37828,0.009,0.01,0.0092,0.009,0.016443140862319044,-1.0,sell,0.47192568569999993,0.0,-819.9016285999971,-820.3735542856971,expiry_settlement
28954591,28956000,BTC-20JAN25-106000-C,430,1737360000000000.0,0.9784722222222222,106000.0,104695.0422,107263.753,0.33968,0.00012,19.84826,-554.18934,0.006,0.0065,0.0064,0.006,0.011781733946974585,-1.0,sell,0.3140851266,0.0,-635.582746799997,-635.8968319265971,expiry_settlement
28956000,28957440,BTC-21JAN25-107000-C,457,1737446400000000.0,1.0,107000.0,107263.753,101850.2829,0.52783,6e-05,22.33407,-1244.39888,0.0245,0.026,0.0245,0.0245,0.0,-1.0,sell,1.31398097425,0.0,2627.9619485,2626.6479675257497,expiry_settlement
28956003,28957440,BTC-21JAN25-108000-C,460,1737446400000000.0,0.9979166666666667,108000.0,107595.5124,101850.2829,0.48849,6e-05,22.43359,-1270.66436,0.021,0.0225,0.0219,0.021,0.0,-1.0,sell,1.1297528802,0.0,2259.5057604000003,2258.3760075198,expiry_settlement
